gra_year;title;distributor;producer;gra_winner
1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;WINNER
1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;
1980;The Formula;MGM, United Artists;Steve Shagan;
1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;
1980;The Jazz Singer;Associated Film Distribution;Jerry Leider;
1980;The Nude Bomb;Universal Studios;Jennings Lang;
1980;Raise the Titanic;Associated Film Distribution;William Frye;
1980;Saturn 3;;Stanley Donen;
1980;Windows;United Artists;Mike Lobell;
1980;Xanadu;Universal Studios;Lawrence Gordon;
1981;Mommie Dearest;Paramount Pictures;Frank Yablans;WINNER
1981;Endless Love;Universal Studios, PolyGram;Dyson Lovell;
1981;Heaven's Gate;United Artists;Joann Carelli;
1981;The Legend of the Lone Ranger;Universal Studios, Associated Film Distribution;Walter Coblenz;
1981;Tarzan, the Ape Man;MGM, United Artists;Bo Derek;
1982;Inchon;MGM;Mitsuharu Ishii;WINNER
1982;Annie;Columbia Pictures;Ray Stark;
1982;Butterfly;Analysis Film Releasing;Matt Cimber;
1982;Megaforce;20th Century Fox;Albert S. Ruddy;
1982;The Pirate Movie;;David Joseph;
1983;The Lonely Lady;Universal Studios;Robert R. Weston;WINNER
1983;Hercules;MGM, United Artists, Cannon Films;Yoram Globus, Menahem Golan;
1983;Jaws 3-D;Universal Studios;Rupert Hitzig;
1983;Stroker Ace;Warner Bros., Universal Studios;Hank Moonjean;
1983;Two of a Kind;20th Century Fox;Roger M. Rothstein, Joe Wizan;
1984;Bolero;Cannon Films;Bo Derek;WINNER
1984;Cannonball Run II;Warner Bros.;Albert S. Ruddy;
1984;Rhinestone;20th Century Fox;Marvin Worth, Howard Smith;
1984;Sheena;Columbia Pictures;Paul Aratow;
1984;Where the Boys Are '84;TriStar Pictures;Allan Carr;
1985;Rambo: First Blood Part II;TriStar Pictures, Carolco Pictures;Buzz Feitshans;WINNER
1985;Fever Pitch;MGM, United Artists;Freddie Fields;
1985;Revolution;Warner Bros.;Irwin Winkler;
1985;Rocky IV;MGM, United Artists;Irwin Winkler, Robert Chartoff;
1985;Year of the Dragon;;Dino De Laurentiis;
1986;Howard the Duck;Universal Studios;Gloria Katz;WINNER
1986;Under the Cherry Moon;Warner Bros.;Bob Cavallo, Joe Ruffalo, Steve Fargnoli;WINNER
1986;Blue City;Paramount Pictures;William L. Hayward, Walter Hill;
1986;Cobra;Warner Bros., Cannon Films;Yoram Globus, Menahem Golan;
